city,drive,fuelType,highway,make,model,,VClass
21,Front-Wheel Drive,Premium,29,Audi,A4,Automatic,Compact Cars
20,Front-Wheel Drive,Premium,31,Audi,A4,Manual,Compact Cars
18,Front-Wheel Drive,Premium,27,Audi,A4,Automatic,Compact Cars
20,4-Wheel or All-Wheel Drive,Premium,28,Audi,A4 quattro,Manual,Compact Cars
19,4-Wheel or All-Wheel Drive,Premium,27,Audi,A4 quattro,Automatic,Compact Cars
15,4-Wheel or All-Wheel Drive,Premium,25,Audi,A4 quattro,Manual,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,25,Audi,A4 quattro,Automatic,Compact Cars
13,4-Wheel or All-Wheel Drive,Premium,20,Audi,RS4,Manual,Compact Cars
18,Rear-Wheel Drive,Regular,22,Peugeot,505 Station Wagon,Automatic,Midsize-Large Station Wagons
13,4-Wheel or All-Wheel Drive,Premium,20,Audi,S4,Manual,Compact Cars
14,4-Wheel or All-Wheel Drive,Premium,21,Audi,S4,Automatic,Compact Cars
10,4-Wheel or All-Wheel Drive,Premium,17,Bentley,Continental GT,Automatic,Compact Cars
23,Front-Wheel Drive,Regular,31,Chevrolet,Aveo,Automatic,Compact Cars
23,Front-Wheel Drive,Regular,33,Chevrolet,Aveo,Manual,Compact Cars
19,Front-Wheel Drive,Regular,28,Chevrolet,Optra,Automatic,Compact Cars
20,Front-Wheel Drive,Regular,28,Chevrolet,Optra,Manual,Compact Cars
19,Front-Wheel Drive,Regular,28,Chevrolet,Optra 5,Automatic,Compact Cars
20,Front-Wheel Drive,Regular,28,Chevrolet,Optra 5,Manual,Compact Cars
16,4-Wheel or All-Wheel Drive,Premium,22,Jaguar,X-Type,Automatic,Compact Cars
18,Rear-Wheel Drive,Regular,22,Peugeot,505 Station Wagon,Manual,Midsize-Large Station Wagons
24,Front-Wheel Drive,Regular,32,Mazda,3,Manual,Compact Cars
23,Front-Wheel Drive,Regular,31,Mazda,3,Automatic,Compact Cars
22,Front-Wheel Drive,Regular,30,Mazda,3,Manual,Compact Cars
18,Front-Wheel Drive,Premium,26,Mazda,3,Manual,Compact Cars
