Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2021,Summer,OC,146,Y,97.24,4
2020,Summer,OC,211,N,97.19,4
2020,Spring,OC,211,N,97.16,4
2021,Spring,OC,146,Y,97.08,4
2021,Winter,OC,146,N,97.07,4
2022,Summer,O,146,Y,97.05,4
2021,Winter,OC,146,N,97.04,4
2024,Summer,O,148,N,97.01,4
2020,Summer,OC,211,N,97,4
2023,Fall,H,146,N,96.98,4
2024,Fall,O,146,N,96.96,4
2024,Summer,O,148,N,96.91,4
2019,Fall,IP,146,Y,96.87,4
2022,Winter,H,146,Y,96.87,4
2021,Spring,OC,146,Y,96.85,4
2020,Fall,OC,208,N,96.83,4
2019,Spring,IP,146,N,96.75,4
2022,Winter,H,107,Y,96.73,4
2024,Fall,H,107,Y,96.72,4
2021,Fall,H,146,Y,96.72,4
2020,Spring,OC,152,N,96.71,4
2020,Summer,OC,211,N,96.68,4
2024,Summer,O,146,Y,96.64,4
2021,Winter,OC,146,N,96.6,4
2023,Winter,O,146,Y,96.6,4
2023,Spring,O,146,N,96.58,4
2019,Summer,IP,152,N,96.53,4
2024,Winter,O,146,Y,96.52,4
2023,Fall,H,146,N,96.5,4
2022,Summer,O,211,N,96.5,4
2023,Spring,O,146,Y,96.48,4
2021,Fall,H,146,Y,96.47,4
2021,Spring,OC,146,Y,96.47,4
2020,Spring,OC,211,N,96.45,4
2022,Summer,O,211,N,96.44,4
2019,Winter,IP,152,N,96.44,4
2023,Spring,O,146,N,96.43,4
2020,Summer,OC,211,N,96.43,4
2023,Spring,O,146,Y,96.42,4
2022,Winter,H,107,Y,96.37,4
2021,Summer,OC,146,Y,96.35,4
2021,Summer,OC,146,Y,96.33,4
2020,Spring,OC,211,N,96.26,4
2024,Summer,O,211,N,96.26,4
2021,Spring,OC,146,Y,96.2,4
2021,Fall,H,146,Y,96.16,4
2020,Summer,OC,211,N,96.15,4
2021,Winter,OC,146,N,96.14,4
2024,Winter,O,146,Y,96.13,4
2020,Fall,OC,208,N,96.09,4
2024,Fall,H,99,Y,96.08,4
2021,Winter,OC,146,N,96.06,4
2021,Spring,OC,146,Y,96.05,4
2020,Summer,OC,211,N,96.05,4
2021,Fall,H,146,N,96.02,4
2023,Spring,O,146,N,96.01,4
2021,Fall,H,146,N,96,4
2019,Spring,IP,146,N,95.96,4
2023,Spring,O,146,Y,95.93,4
2021,Summer,OC,146,Y,95.93,4
2019,Winter,IP,141,N,95.93,4
2021,Spring,OC,146,Y,95.87,4
2021,Summer,OC,146,Y,95.83,4
2024,Winter,O,146,Y,95.81,4
2021,Summer,OC,146,Y,95.7,4
2021,Winter,OC,146,N,95.66,4
2022,Summer,O,211,N,95.63,4
2021,Fall,H,146,N,95.6,4
2021,Fall,H,146,Y,95.56,4
2023,Fall,H,211,N,95.56,4
2022,Summer,O,146,Y,95.56,4
2020,Fall,IP,146,Y,95.54,4
2020,Spring,OC,211,N,95.53,4
2021,Winter,OC,146,N,95.51,4
2020,Spring,OC,152,N,95.46,4
2020,Spring,OC,211,N,95.44,4
2021,Winter,OC,146,Y,95.4,4
2024,Fall,O,146,N,95.39,4
2022,Summer,O,211,N,95.36,4
2024,Winter,H,146,Y,95.36,4
