state,name,delta_population,delta_median_hshld_income,delta_median_age,delta_pct_white,delta_pct_bachelors,delta_pct_poverty
California,Lassen County,-2665,3766,-1,-0.57,0,0.4
California,Los Angeles County,644169,5539,1.7,-1.31,2.2,1.3
California,Madera County,33781,2171,0.5,-2.94,0.3,2.8
California,Marin County,13666,15435,2.1,-1.34,3.4,1.1
California,Mariposa County,439,2287,3.2,-2.17,4,2.6
California,Mendocino County,1753,2769,1.2,-2.68,2.1,2
California,Merced County,62119,2494,1.5,-3.07,1.3,1.5
California,Modoc County,-590,4708,2.4,-0.98,1,-0.3
California,Mono County,1315,5508,1.8,-2.13,1.6,-2.1
California,Monterey County,36145,3978,1.1,-2.29,0.5,0.8
California,Napa County,16694,12248,1.4,-3.2,4.6,-1.8
California,Nevada County,7781,3489,3,-1.12,3.9,3.1
California,Orange County,344111,7507,1.8,-2.7,3.1,2
California,Placer County,137767,6041,1.8,-2.3,3.4,1.6
California,Plumas County,-2082,6266,3.6,-1.47,2.8,1.2
California,Riverside County,877879,3039,1.6,-3.13,1,2.2
California,Sacramento County,307116,3800,1.3,-2.65,2.1,2.8
California,San Benito County,7076,14989,1.7,-2.73,0.9,-2
California,San Bernardino County,447970,1311,1.7,-3.48,1.4,3.4
California,San Diego County,523852,7519,0.9,-2.3,3.3,1
California,San Francisco County,107630,24961,0,-1.06,4.6,-0.2
California,San Joaquin County,181826,3472,1.6,-2.73,0.6,1.1
California,San Luis Obispo County,36724,9810,0,-1.72,3.4,0.9
California,San Mateo County,64249,20019,0.6,-2.38,4.5,0.3
California,Santa Barbara County,48803,7945,0.1,-2.59,2.3,1.1
California,Santa Clara County,255568,19911,1.2,-2.64,4.7,-0.3
California,Santa Cruz County,20295,8410,0.7,-1.78,2.5,2
California,Shasta County,16665,3314,0.5,-1.96,1.4,1.6
California,Sierra County,-556,-8760,4.2,-1.13,-1.6,1.4
California,Siskiyou County,-448,3903,1.4,-2.34,0.1,3.6
California,Solano County,50916,4541,1.2,-1.85,1.6,1.1
California,Sonoma County,45603,8495,1.9,-2.26,2.3,0.4
California,Stanislaus County,100902,3166,1.4,-3.35,0.4,0.8
California,Sutter County,17718,3403,1.5,-3.07,-1.2,2.4
California,Tehama County,7887,4375,1.9,-2.68,1.8,0.6
California,Trinity County,-313,-2162,2.9,-0.69,0,4.8
California,Tulare County,96472,1020,1.2,-3.09,0.8,4.2
California,Tuolumne County,-253,6863,2,-1.07,3.3,1.9
California,Ventura County,101026,6624,1.5,-2.57,1.8,1.1
California,Yolo County,50456,4544,0.8,-2.37,2.8,2.3
California,Yuba County,16812,4969,0.9,-2.51,3.9,-1.5
Colorado,Adams County,139310,9421,1.2,-2.11,2.8,-1.7
Colorado,Alamosa County,1585,380,-2.3,-0.97,-0.4,3.8
Colorado,Arapahoe County,155085,10834,0.9,-1.89,3.7,-1.7
Colorado,Archuleta County,3417,-8052,13.1,-1.48,-2,3.1
Colorado,Baca County,-955,-119,0.4,-2,2.4,5.5
Colorado,Bent County,-60,-3912,0.2,1.8,-2.9,0.5
Colorado,Boulder County,31226,10830,0.9,-1.24,3.4,0.3
Colorado,Broomfield County,,10049,1.1,-1.79,9,-0.3
Colorado,Chaffee County,3396,10821,3.6,-1.29,-0.9,-2
Colorado,Cheyenne County,-386,7782,-5.8,-8.08,3.4,-0.3
Colorado,Clear Creek County,252,8108,2.5,-2.22,4.8,-1.2
Colorado,Conejos County,-216,2030,-0.4,2.13,0.5,3.4
Colorado,Costilla County,113,4612,5.4,1.28,6.6,1.2
Colorado,Crowley County,292,-2897,-0.1,4.47,-4.1,3.6
Colorado,Custer County,1371,1421,6.5,-2.28,4.1,0.6
Colorado,Delta County,2734,2036,2.7,-1.38,1.1,3.4
Colorado,Denver County,149985,14597,0.6,1.41,6.4,-4.1
Colorado,Dolores County,223,-2706,5.9,0.4,4.9,-1.9
Colorado,Douglas County,159533,11956,2.3,-1.89,3.6,0.7
Colorado,Eagle County,13113,12466,3.1,0.01,-0.8,-1.7
Colorado,Elbert County,5770,13891,2.8,-1.62,5.8,1.3
Colorado,El Paso County,182303,6267,-0.3,-2.09,2.4,0
Colorado,Fremont County,1414,6865,2.1,-0.93,0.9,-0.2
Colorado,Garfield County,15327,1601,1.8,-0.16,5.8,0.4
Colorado,Gilpin County,1256,14508,1.4,-4.73,2.9,-5.4
Colorado,Grand County,2879,6056,3.7,-2.84,9.6,6.5
Colorado,Gunnison County,2983,3295,1.5,-1.69,7.9,3.3
Colorado,Hinsdale County,4,-21603,-0.4,-2.35,-1.2,8.3
Colorado,Huerfano County,-1200,5743,5.2,2.29,-3.6,-5.9
Colorado,Jackson County,-192,8772,2.7,-12.55,-5.2,-1.1
Colorado,Jefferson County,47557,9095,0.7,-1.24,3.8,-0.2
Colorado,Kiowa County,-246,-839,-5.1,-5.29,0.9,-1.9
Colorado,Kit Carson County,-853,4203,-1.3,-0.13,0.9,3
Colorado,Lake County,-34,5073,4.7,6.07,10.5,-8.9
Colorado,La Plata County,11648,6111,1.7,-1.26,2.5,-0.6
Colorado,Larimer County,92482,8533,0.7,-1.32,3.4,-0.9
Colorado,Las Animas County,-969,2452,2.1,-1.49,0.9,0.2
Colorado,Lincoln County,-541,3109,-2.9,-13.11,-2.1,1.4
Colorado,Logan County,1392,3915,-0.9,-0.14,1,4
Colorado,Mesa County,35361,-96,0.8,-1.34,1.8,3.6
Colorado,Mineral County,-65,-3053,0.1,-11.39,0.2,4.3
Colorado,Moffat County,-53,-577,1.5,-1.25,2.3,-2.9
Colorado,Montezuma County,2310,1542,2.1,-2.01,1.5,-0.8
Colorado,Montrose County,8352,-1725,2.8,-1.28,1.1,6.9
Colorado,Morgan County,1021,8345,0.2,-2.45,2.6,-5.3
Colorado,Otero County,-1985,909,-0.6,-2.01,2.3,1.9
Colorado,Ouray County,1052,2940,7.5,-0.92,8.1,2.2
Colorado,Park County,3382,-2454,5.7,-1.93,-4.1,0.4
Colorado,Phillips County,-188,5992,-2.4,-2,5.6,-1.2
Colorado,Pitkin County,3018,3253,0.6,-2.18,1.5,-1.3
Colorado,Prowers County,-2413,7771,1.5,-2.67,-2.3,-3.8
Colorado,Pueblo County,25003,1687,0.4,-1.67,0.8,2.5
Colorado,Rio Blanco County,434,-1,-1.7,2.05,-1.8,6.5
Colorado,Rio Grande County,-1112,-1337,0.8,-2.94,4.5,1
Colorado,Routt County,5530,6596,1,-0.84,6,3.8
Colorado,Saguache County,709,4335,6.4,1.85,6.6,-3.4
Colorado,San Juan County,157,2614,3.1,1.02,-1,-8.9
Colorado,San Miguel County,1373,-4156,3.6,-1.58,5.3,0.7
Colorado,Sedgwick County,-403,11958,-2,-3.08,8.1,2.9
Colorado,Summit County,7037,4788,3,-0.75,-2.1,3
Colorado,Teller County,4091,8729,3.9,-1.13,3.1,-0.1
Colorado,Washington County,12,11723,-0.9,-1.65,-1.7,-4.4
Colorado,Weld County,123697,10893,1.5,-1.19,1.6,-2.7
Colorado,Yuma County,234,2554,-0.9,-2.23,3.2,4.5
Connecticut,Fairfield County,67354,8505,1.1,-3.36,2.9,0.8
Connecticut,Hartford County,38205,7346,0.9,-3.59,4.1,0.5
Connecticut,Litchfield County,-16,6799,3.5,-1.85,2.7,1
Connecticut,Middlesex County,8339,6767,2.8,-1.99,3.8,1.1
Connecticut,New Haven County,36427,3758,1.4,-3.36,2.9,1.2
Connecticut,New London County,9945,3992,1.2,-2.12,2.3,2.7
Connecticut,Tolland County,15097,4137,0.3,-2.06,2.9,0.1
Connecticut,Windham County,7268,3183,2.1,-1.89,3.1,-0.3
Delaware,Kent County,50127,4464,1.2,-2.46,3.5,0.5
Delaware,New Castle County,59528,5862,1,-3.06,3.3,1.6
Delaware,Sussex County,68684,6855,3.7,-0.75,3.9,0.3
District of Columbia,District of Columbia,121913,19123,-0.4,1.18,7.4,-1.1
Florida,Alachua County,48989,4834,1.5,-1.69,0.5,-0.3
Florida,Baker County,6024,12230,1,-0.5,6.9,0.2
Florida,Bay County,35346,2513,0.9,-1.91,2,3
Florida,Bradford County,950,4980,1.6,0.62,1.8,2.8
Florida,Brevard County,112932,2013,2.5,-2.32,2.2,2.9
Florida,Broward County,312860,3201,0.9,-5.35,1.9,1.7
Florida,Calhoun County,1466,4538,1.9,-0.83,-2,-8.2
Florida,Charlotte County,40406,1474,3.3,-1.56,1.1,1.5
Florida,Citrus County,27562,2641,2.4,-0.98,1.3,3
Florida,Clay County,71416,786,1.9,-3.04,-0.1,1.9
Florida,Collier County,121503,4301,3.9,-2.07,4.1,0.6
Florida,Columbia County,13099,5290,1.2,-1.65,1.5,1.2
Florida,DeSoto County,4653,-544,3.7,-0.65,-0.1,3
Florida,Dixie County,2846,3598,3.1,-1.79,2.9,8.2
Florida,Duval County,159055,1833,0.6,-2.51,3.8,1.8
Florida,Escambia County,19102,3788,-0.3,-1.36,2.6,-1.8
Florida,Flagler County,60678,2959,3.1,-1.36,1.6,1.4
Florida,Franklin County,670,4777,0.7,-1.38,-0.4,-5.5
Florida,Gadsden County,984,4102,2.5,-0.51,4,-3.2
Florida,Gilchrist County,3306,5895,3.3,-0.75,3.8,-0.3
